parse_timestamp,event_name,event_time,odds_1,odds_x,odds_2,odds_1x,odds_12,odds_x2,fora_1,fora_2,total_value,total_over,total_under
07.10.2025 23:47:03,Флорида — Чикаго,08.10.2025 00:00,1.60,4.80,4.80,1.18,1.18,2.35,1.90,1.90,5.5,1.85,1.95
07.10.2025 23:47:03,Рейнджерс — Питтсбург,08.10.2025 03:00,1.75,4.80,4.00,1.25,1.18,2.10,1.88,1.92,5.5,1.70,2.13
07.10.2025 23:47:03,Лос-Анджелес — Колорадо,08.10.2025 05:30,2.55,4.30,2.45,1.55,1.22,1.50,1.95,1.87,5.5,1.77,2.05
07.10.2025 23:47:03,Торонто — Монреаль,09.10.2025 02:00,1.95,4.40,3.20,1.35,1.20,1.85,2.15,1.70,5.5,1.73,2.10
07.10.2025 23:47:03,Вашингтон — Бостон,09.10.2025 02:30,1.90,4.30,3.35,1.33,1.22,1.90,2.15,1.70,5.5,1.88,1.92
07.10.2025 23:47:03,Вегас — Лос-Анджелес,09.10.2025 05:00,1.80,4.60,3.60,1.30,1.20,2.00,1.97,1.83,5.5,1.75,2.10
07.10.2025 23:47:03,Эдмонтон — Калгари,09.10.2025 05:00,1.78,4.60,3.70,1.28,1.20,2.05,1.95,1.85,5.5,1.70,2.15
07.10.2025 23:47:03,Флорида — Филадельфия,10.10.2025 02:00,1.87,4.40,3.45,1.30,1.20,1.93,2.08,1.75,5.5,1.85,1.95
07.10.2025 23:47:03,Бостон — Чикаго,10.10.2025 02:00,2.00,4.30,3.10,1.37,1.22,1.80,2.25,1.63,5.5,1.85,1.95
07.10.2025 23:47:03,Детройт — Монреаль,10.10.2025 02:00,2.20,4.30,2.70,1.47,1.22,1.67,1.73,2.10,5.5,1.70,2.15
07.10.2025 23:47:03,Баффало — Рейнджерс,10.10.2025 02:00,2.50,4.30,2.40,1.57,1.22,1.53,1.95,1.85,5.5,1.68,2.18
07.10.2025 23:47:03,Тампа-Бэй — Оттава,10.10.2025 02:00,2.03,4.30,3.05,1.38,1.22,1.80,2.25,1.65,5.5,1.70,2.15
07.10.2025 23:47:03,Питтсбург — Айлендерс,10.10.2025 02:00,2.55,4.20,2.35,1.60,1.23,1.50,2.00,1.82,5.5,1.83,1.97
07.10.2025 23:47:03,Каролина — Нью-Джерси,10.10.2025 02:30,2.05,4.20,3.05,1.38,1.23,1.77,2.30,1.60,5.5,1.85,1.95
07.10.2025 23:47:03,Сент-Луис — Миннесота,10.10.2025 03:00,2.30,4.20,2.60,1.50,1.23,1.62,1.80,2.02,5.5,1.85,1.95
07.10.2025 23:47:03,Нэшвилл — Коламбус,10.10.2025 03:00,2.30,4.30,2.60,1.50,1.22,1.62,1.80,2.00,5.5,1.68,2.18
07.10.2025 23:47:03,Виннипег — Даллас,10.10.2025 03:00,2.50,4.15,2.45,1.55,1.23,1.53,1.93,1.87,5.5,1.90,1.90
07.10.2025 23:47:03,Колорадо — Юта,10.10.2025 04:00,1.92,4.50,3.25,1.35,1.20,1.88,2.12,1.72,5.5,1.65,2.20
07.10.2025 23:47:03,Сан-Хосе — Вегас,10.10.2025 05:00,3.40,4.40,1.90,1.90,1.20,1.32,1.75,2.10,5.5,1.77,2.05
07.10.2025 23:47:03,Ванкувер — Калгари,10.10.2025 05:00,1.85,4.40,3.55,1.30,1.20,1.95,2.05,1.77,5.5,1.82,1.98
07.10.2025 23:47:03,Сиэтл — Анахайм,10.10.2025 05:00,2.30,4.20,2.60,1.50,1.23,1.62,1.80,2.02,5.5,1.82,1.98
08.10.2025 17:29:08,Виннипег — Лос-Анджелес,11.10.2025 20:30,2.30,4.30,2.65,1.48,1.22,1.62,1.78,2.05,5.5,1.80,2.00
08.10.2025 17:29:08,Калгари — Сент-Луис,11.10.2025 23:00,2.30,4.30,2.65,1.48,1.22,1.62,1.78,2.05,5.5,1.80,2.00
08.10.2025 17:29:08,Тампа-Бэй — Нью-Джерси,12.10.2025 02:00,2.25,4.30,2.60,1.50,1.22,1.65,1.78,2.05,5.5,1.70,2.15
08.10.2025 17:29:08,Флорида — Оттава,12.10.2025 02:00,1.85,4.40,3.55,1.30,1.20,1.95,1.95,1.85,5.5,1.90,1.90
08.10.2025 17:29:08,Детройт — Торонто,12.10.2025 02:00,2.65,4.30,2.25,1.65,1.22,1.48,2.05,1.78,5.5,1.70,2.15
08.10.2025 17:29:08,Каролина — Филадельфия,12.10.2025 02:00,1.80,4.60,3.55,1.30,1.20,2.00,1.90,1.90,5.5,1.75,2.05
08.10.2025 17:29:08,Айлендерс — Вашингтон,12.10.2025 02:00,2.35,4.20,2.60,1.50,1.23,1.60,1.80,2.00,5.5,1.90,1.90
08.10.2025 17:29:08,Бостон — Баффало,12.10.2025 02:00,2.25,4.30,2.65,1.48,1.22,1.65,1.75,2.05,5.5,1.70,2.15
